Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss  -0.13 |n_ep   133 |ep_len   31.1 |ep_rew  -0.24 |raw_ep_rew   0.66 |env_step   4000 |time 00:30 rem 1004:37
iter  43000 |loss   0.05 |n_ep  7756 |ep_len   65.3 |ep_rew   0.79 |raw_ep_rew   7.77 |env_step 344000 |time 43:46 rem 974:16
iter  43500 |loss  -0.03 |n_ep  7827 |ep_len   57.4 |ep_rew   0.70 |raw_ep_rew   7.25 |env_step 348000 |time 44:17 rem 973:46
iter  44000 |loss   0.03 |n_ep  7895 |ep_len   59.6 |ep_rew   0.69 |raw_ep_rew   6.84 |env_step 352000 |time 44:47 rem 973:14
iter  44500 |loss   0.03 |n_ep  7961 |ep_len   55.8 |ep_rew   0.58 |raw_ep_rew   7.50 |env_step 356000 |time 45:18 rem 972:40
iter  45000 |loss   0.06 |n_ep  8017 |ep_len   69.8 |ep_rew   0.91 |raw_ep_rew   8.43 |env_step 360000 |time 45:48 rem 972:08
iter  45500 |loss   0.03 |n_ep  8076 |ep_len   73.6 |ep_rew   0.95 |raw_ep_rew   8.89 |env_step 364000 |time 46:18 rem 971:34
iter  46000 |loss  -0.00 |n_ep  8139 |ep_len   66.8 |ep_rew   0.83 |raw_ep_rew   8.32 |env_step 368000 |time 46:49 rem 971:02
iter  46500 |loss  -0.10 |n_ep  8198 |ep_len   59.9 |ep_rew   0.61 |raw_ep_rew   9.98 |env_step 372000 |time 47:19 rem 970:30
iter  47000 |loss   0.20 |n_ep  8266 |ep_len   61.9 |ep_rew   0.80 |raw_ep_rew   8.74 |env_step 376000 |time 47:50 rem 969:58
iter  47500 |loss  -0.07 |n_ep  8328 |ep_len   62.5 |ep_rew   0.83 |raw_ep_rew   9.00 |env_step 380000 |time 48:20 rem 969:25
